asset_id,period_end,observed_at,price_per_share,market_cap,event_type,source_type,source_reference,collected_at,researcher,precision_status,notes,volume,frequency,implied_market_cap,warning_reason
rally-00mouton,2021-06-30,2021-04-01T00:00:00Z,13.5,27000.0,offering_price,rally_app,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Initial offering,,quarterly,27000.0,observed_at_exceeds_quarter_lookback:90d; offering_price_excluded_from_secondary_returns
rally-00mouton,2021-09-30,2021-09-30T00:00:00Z,13.5,27000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,27000.0,chart_observation_marked_exact
rally-00mouton,2021-12-31,2022-02-07T00:00:00Z,9.2,18400.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Nearest available observation after quarter-end. Submitted precision_status was approx.,,quarterly,18400.0,observed_at_after_period_end
rally-00mouton,2022-03-31,2022-03-31T00:00:00Z,12.35,24700.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,24700.0,chart_observation_marked_exact
rally-00mouton,2022-06-30,2022-06-27T00:00:00Z,13.1,26200.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,26200.0,chart_observation_marked_exact
rally-00mouton,2022-09-30,2022-09-29T00:00:00Z,14.0,28000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,28000.0,chart_observation_marked_exact
rally-00mouton,2022-12-31,2022-12-30T00:00:00Z,13.95,27900.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,27900.0,chart_observation_marked_exact
rally-00mouton,2023-03-31,2023-03-30T00:00:00Z,13.4,26800.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,26800.0,chart_observation_marked_exact
rally-00mouton,2023-06-30,2023-06-26T00:00:00Z,12.0,24000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,24000.0,chart_observation_marked_exact
rally-00mouton,2023-09-30,2023-09-28T00:00:00Z,13.5,27000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,27000.0,chart_observation_marked_exact
