record_type,source,asset_id,ticker,name,series_name,lot_id,auction_name,source_url,date,market_cap_usd,offering_price,shares,price_usd,estimate_low_usd,estimate_high_usd,brand,model,size,material,color,year,is_exotic,exactness_score,source_confidence,comparison_role
rally_asset,Rally seed,rally-hermes-birkin-35,HERMES35,2012 Hermes Birkin 35 Handbag,Series #HermesBirkin35,,,manual_seed,2021-05-14,168000.0,10.0,14000.0,,,,Hermes,Birkin,35,,,2012,False,,0.7,rally_market_reference
rally_asset,Rally seed,rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,,,,,2019-11-01,,58.0,1000.0,,,,Hermes,Birkin,,Lizard,25cm Blue,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,,,,,2020-02-01,,26.25,2000.0,,,,Hermes,Birkin,,Crocodile,35cm Bordeaux,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,,,,,2020-06-01,,28.0,1000.0,,,,Hermes,Birkin,,Ostrich,30cm Tangerine,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,,,,,2020-05-01,,70.0,2000.0,,,,Hermes,Birkin,,,30cm Himalaya,,False,,1.0,rally_market_reference
rally_asset,Rally seed,rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,,,,,2020-09-01,,56.0,1000.0,,,,Hermes,Birkin,,,30cm So Black,,False,,1.0,rally_market_reference
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkinblu,,Bleu Saphir Lizard Hermès Birkin,Series #BIRKINBLU,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,58.0,1000.0,,,,Hermes,Birkin,,Lizard,Series #BIRKINBLU Bleu Saphir,,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkinbor,,2015 Hermès Birkin Bordeaux Shiny Porosus Crocodile with Gold Hardware,Series #BIRKINBOR,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,26.25,2000.0,,,,Hermes,Birkin,,Porosus Crocodile,Series #BIRKINBOR,2015,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#himalaya,,2014 Hermès 30cm Birkin Blanc Himalaya Matte Niloticus Crocodile with Palladium Hardware,Series #HIMALAYA,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,70.0,2000.0,,,,Hermes,Birkin,,Niloticus Crocodile,Series #HIMALAYA   30cm,2014,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkintan,,2015 Hermès 30cm Birkin Tangerine Ostrich with Palladium Hardware,Series #BIRKINTAN,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,28.0,1000.0,,,,Hermes,Birkin,,Ostrich,Series #BIRKINTAN   30cm,2015,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#faubourg,,2019 Hermès 20cm Sellier Faubourg Brown Multicolor Birkin with Palladium Hardware,Series #FAUBOURG,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,75.0,2000.0,,,,Hermes,Birkin,,,Series #FAUBOURG   20cm Sellier Faubourg Brown Multicolor,2019,False,,0.88,rally_fundamental_context
