asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings
sec-rally-andypele,ANDYPELE,1977 Andy Warhol Pelé Polaroid Portrait Photo,art,warhol,,,1977.0,,,Andy Warhol Pele Polaroid Portrait Photo,,trading,52006500.0,2022-09-27,4.0,208026000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000068/rsec1sa2022.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000068/rsec1sa2022.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-warhol1,WARHOL1,1967 Andy Warhol Marilyn Monroe Signed Print Stamp-Numbered 140/250,art,warhol,,,1967.0,,,Andy Warhol Marilyn Monroe Signed Print Stamp-Numbered 140/250,,trading,1360017000.0,2022-06-02,10.0,13600170000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-warhol2,WARHOL2,1969 Oyster Stew Campbell’s Soup II Signed and Stamp-Numbered Andy Warhol Print,art,warhol,,,1969.0,,,Oyster Stew Campbells Soup II Signed and Stamp-Numbered Andy Warhol Print,,trading,6500.0,2022-09-27,10.0,65000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000068/rsec1sa2022.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000068/rsec1sa2022.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-39aa,39AA,1939 First Edition copy of Alcoholics Anonymous by Bill Wilson,books,books,,,1939.0,,,First Edition copy of Alcoholics Anonymous by Bill Wilson,,trading,72009000.0,2022-06-02,5.0,360045000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-59bond,59BOND,1959 First Edition Dedication copy of Goldfinger by Ian Fleming,books,books,,,1959.0,,,First Edition Dedication copy of Goldfinger by Ian Fleming,,trading,10250.0,2025-09-29,8.0,82000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-59jfk,59JFK,1959 Inscribed Presentation Copy of Profiles in Courage by John F. Kennedy,books,books,,,1959.0,,,Inscribed Presentation Copy of Profiles in Courage by John F. Kennedy,,trading,2000.0,2025-09-29,13.0,26000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-61jfk,61JFK,1961 inscribed copy of Inaugural Addresses of the Presidents of the United States,books,books,,,1961.0,,,inscribed copy of Inaugural Addresses of the Presidents of the United States,,trading,2000.0,2025-09-29,11.5,23000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-62bond,62BOND,1962 First Edition Presentation copy of The Spy Who Loved Me by Ian Fleming inscribed to Robert Kennedy,books,books,,,1962.0,,,First Edition Presentation copy of The Spy Who Loved Me by Ian Fleming inscribed,,trading,15500.0,2025-09-29,6.0,93000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-80ali,80ALI,1980 Muhammad Ali Sparring Gloves Worn in Training for Larry Holmes Bout and Inscribed to Sylvester Stallone,books,books,,,1980.0,,,Muhammad Ali Sparring Gloves Worn in Training for Larry Holmes Bout and Inscribe,,trading,10000.0,2025-09-29,7.5,75000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-aghowl,AGHOWL,First Edition Howl and Other Poems,books,books,,,,,,First Edition Howl and Other Poems,,trading,500.0,2025-09-29,38.0,19000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
