comp_id,source,auction_name,auction_url,sale_date,brand,model,size,material,color,hardware,condition,year,estimate_low_usd,estimate_high_usd,realized_price_usd,currency,title,lot_url,raw_text_path,confidence_score
comp-hermes-001,Sothebys,,manual_seed,2026-01-15,,,,Leather,Similar size and,,excellent,,,,182000.0,USD,Similar size and leather; provenance unverified in seed.,manual_seed,,0.9
comp-hermes-002,Christies,,manual_seed,2025-08-30,,,,,Older sale; condition slightly below target.,,very_good,,,,165000.0,USD,Older sale; condition slightly below target.,manual_seed,,0.82
comp-hermes-003,Rebag Report,,manual_seed,2025-12-01,,,,,Retail-market estimate rather than auction result.,,excellent,,,,176000.0,USD,Retail-market estimate rather than auction result.,manual_seed,,0.74
comp-chanel-001,Fashionphile,,manual_seed,2026-02-03,,,,,Manual seed comp.,,excellent,,,,104000.0,USD,Manual seed comp.,manual_seed,,0.78
comp-chanel-002,The RealReal,,manual_seed,2025-10-01,,,,,Manual seed comp.,,very_good,,,,96000.0,USD,Manual seed comp.,manual_seed,,0.7
comp-daytona-001,Phillips,,manual_seed,2026-01-20,,,,,Manual seed comp.,,excellent,,,,196000.0,USD,Manual seed comp.,manual_seed,,0.86
sothebys-handbags-and-trunks-including-property-of-an-important-private-collector-49,Sothebys,Handbags and Trunks: Including Property of An Important Private Collector,https://www.sothebys.com/en/buy/auction/2026/handbags-and-accessories-3?locale=en&lotFilter=AllLots,2026-06-23,Hermes,Kelly,28.0,Epsom,Vert Cypres and Vert Bosphore Casaque,Gold Hardware,,2023.0,10000.0,18000.0,21760.0,USD,"Limited Edition Vert Cyprès and Vert Bosphore Casaque Epsom Kelly 28 Sellier Gold Hardware, 2023",https://www.sothebys.com/en/buy/auction/2026/handbags-and-accessories-3?locale=en&lotFilter=AllLots,,0.9099999999999999
sothebys-handbags-accessories-58,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Kelly,,Madame,Gold Madame,Palladium Hardware,,2023.0,12000.0,18000.0,16510.0,USD,"Gold Madame Kelly Elan Palladium Hardware, 2023",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.73
sothebys-handbags-accessories-59,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Kelly,35.0,,Gold Sikkim,Gold Hardware,,2001.0,5000.0,8000.0,8890.0,USD,"Gold Sikkim Kelly 35 Retournè Gold Hardware, 2001",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83
sothebys-handbags-accessories-60,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Birkin,25.0,Togo,Gold,Gold Hardware,,2021.0,15000.0,20000.0,27940.0,USD,"Gold Togo Birkin 25 Gold Hardware, 2021",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999
sothebys-handbags-accessories-61,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Picotin,,Swift,Gold,Gold Hardware,,2025.0,4000.0,6000.0,6350.0,USD,"Limited Edition Gold Swift and Ecru Toile Cargo Picotin Lock 18 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.61
sothebys-handbags-accessories-65,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Kelly,25.0,Chevre,Black and Rouge H Chevre Mysore HSS,Gold Hardware,,2024.0,18000.0,24000.0,25400.0,USD,"Black and Rouge H Chèvre Mysore HSS Kelly 25 Sellier Gold Hardware, 2024",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83
sothebys-handbags-accessories-68,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,Hermes,Constance,,Alligator,Black Shiny Mississippiensis,Gold Hardware,,2017.0,5000.0,7000.0,10160.0,USD,"Black Shiny Mississippiensis Alligator Constance Long Wallet Gold Hardware, 2017",https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.8099999999999999
