comp_id,category,subcategory,asset_id,source,source_url,date,price_usd,currency,condition,exactness_score,source_confidence,price_type,source_access,venue,auction_name,lot_id,brand,model,reference,size,material,color,hardware,year,title,auction_url,lot_url,raw_text_path,confidence_score,estimate_low_usd,estimate_high_usd,buyer_premium_included,notes
comp-hermes-001,handbags,hermes_birkin,rally-hermes-birkin-35,Sothebys,manual_seed,2026-01-15,182000.0,USD,excellent,0.9,0.82,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.9,,,,Similar size and leather; provenance unverified in seed.
comp-hermes-002,handbags,hermes_birkin,rally-hermes-birkin-35,Christies,manual_seed,2025-08-30,165000.0,USD,very_good,0.82,0.8,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.82,,,,Older sale; condition slightly below target.
comp-hermes-003,handbags,hermes_birkin,rally-hermes-birkin-35,Rebag Report,manual_seed,2025-12-01,176000.0,USD,excellent,0.74,0.72,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.74,,,,Retail-market estimate rather than auction result.
comp-chanel-001,handbags,chanel_flap,rally-chanel-flap,Fashionphile,manual_seed,2026-02-03,104000.0,USD,excellent,0.78,0.7,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.78,,,,Manual seed comp.
comp-chanel-002,handbags,chanel_flap,rally-chanel-flap,The RealReal,manual_seed,2025-10-01,96000.0,USD,very_good,0.7,0.66,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.7,,,,Manual seed comp.
comp-daytona-001,watches,rolex_daytona,rally-rolex-daytona,Phillips,manual_seed,2026-01-20,196000.0,USD,excellent,0.86,0.84,realized_with_premium,public_page,,,,,,,,,,,,,,,,0.86,,,,Manual seed comp.
sothebys-handbags-and-trunks-including-property-of-an-important-private-collector-49,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-and-accessories-3?locale=en&lotFilter=AllLots,2026-06-23,21760.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags and Trunks: Including Property of An Important Private Collector,49,Hermes,Kelly,,28.0,Epsom,Vert Cypres and Vert Bosphore Casaque,,,"Limited Edition Vert Cyprès and Vert Bosphore Casaque Epsom Kelly 28 Sellier Gold Hardware, 2023",,https://www.sothebys.com/en/buy/auction/2026/handbags-and-accessories-3?locale=en&lotFilter=AllLots,,0.9099999999999999,10000.0,18000.0,True,"Limited Edition Vert Cyprès and Vert Bosphore Casaque Epsom Kelly 28 Sellier Gold Hardware, 2023"
sothebys-handbags-accessories-58,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,16510.0,USD,,0.73,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,58,Hermes,Kelly,,,,Gold Madame,,,"Gold Madame Kelly Elan Palladium Hardware, 2023",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.73,12000.0,18000.0,True,"Gold Madame Kelly Elan Palladium Hardware, 2023"
sothebys-handbags-accessories-59,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,8890.0,USD,,0.83,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,59,Hermes,Kelly,,35.0,,Gold Sikkim,,,"Gold Sikkim Kelly 35 Retournè Gold Hardware, 2001",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83,5000.0,8000.0,True,"Gold Sikkim Kelly 35 Retournè Gold Hardware, 2001"
sothebys-handbags-accessories-60,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,27940.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,60,Hermes,Birkin,,25.0,Togo,Gold,,,"Gold Togo Birkin 25 Gold Hardware, 2021",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,15000.0,20000.0,True,"Gold Togo Birkin 25 Gold Hardware, 2021"
sothebys-handbags-accessories-61,handbags,"Limited Edition Gold Swift and Ecru Toile Cargo Picotin Lock 18 Gold Hardware, 2025",,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,6350.0,USD,,0.61,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,61,Hermes,,,,Swift,Gold,,,"Limited Edition Gold Swift and Ecru Toile Cargo Picotin Lock 18 Gold Hardware, 2025",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.61,4000.0,6000.0,True,"Limited Edition Gold Swift and Ecru Toile Cargo Picotin Lock 18 Gold Hardware, 2025"
sothebys-handbags-accessories-65,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,25400.0,USD,,0.83,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,65,Hermes,Kelly,,25.0,,Black and Rouge H Chevre Mysore HSS,,,"Black and Rouge H Chèvre Mysore HSS Kelly 25 Sellier Gold Hardware, 2024",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83,18000.0,24000.0,True,"Black and Rouge H Chèvre Mysore HSS Kelly 25 Sellier Gold Hardware, 2024"
sothebys-handbags-accessories-68,handbags,Constance,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,10160.0,USD,,0.8099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,68,Hermes,Constance,,,Alligator,Black Shiny Mississippiensis,,,"Black Shiny Mississippiensis Alligator Constance Long Wallet Gold Hardware, 2017",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.8099999999999999,5000.0,7000.0,True,"Black Shiny Mississippiensis Alligator Constance Long Wallet Gold Hardware, 2017"
sothebys-handbags-accessories-74,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,63500.0,USD,,0.83,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,74,Hermes,Birkin,,25.0,,Black Volupto Rock,,,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83,40000.0,60000.0,True,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024"
sothebys-handbags-accessories-75,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,16510.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,75,Hermes,Kelly,,32.0,Box,Black,,,"Vintage Black Box Kelly 32 Sellier Gold Hardware, 1999",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,12000.0,18000.0,True,"Vintage Black Box Kelly 32 Sellier Gold Hardware, 1999"
sothebys-handbags-accessories-80,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,15240.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,80,Hermes,Birkin,,35.0,Epsom,Etain,,,"Etain Epsom Birkin 35 Gold Hardware, 2014",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,6000.0,10000.0,True,"Etain Epsom Birkin 35 Gold Hardware, 2014"
sothebys-handbags-accessories-82,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,12700.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,82,Hermes,Kelly,,28.0,Clemence,Anemone,,,"Anemone Clèmence Kelly 28 Retournè Palladium Hardware, 2012",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,10000.0,16000.0,True,"Anemone Clèmence Kelly 28 Retournè Palladium Hardware, 2012"
sothebys-handbags-accessories-96,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,12700.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,96,Hermes,Birkin,,35.0,Epsom,Lime and Gris Perle,,,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,8000.0,14000.0,True,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011"
sothebys-handbags-accessories-99,handbags,Lindy,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,3556.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,99,Hermes,Lindy,,34.0,Swift,Vert Anis,,,"Vert Anis Swift Lindy 34 Palladium Hardware, 2007",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.9099999999999999,3000.0,5000.0,True,"Vert Anis Swift Lindy 34 Palladium Hardware, 2007"
sothebys-handbags-accessories-100,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,13970.0,USD,,0.83,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,100,Hermes,Birkin,,30.0,,Menthe and Vert Anis Chevre Mysore HSS,,,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.83,11000.0,18000.0,True,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013"
sothebys-handbags-accessories-101,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,8890.0,USD,,0.8099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,101,Hermes,Kelly,,,Swift,Vert Yucca,,,"Vert Yucca Swift Kelly Moove Gold Hardware, 2024",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.8099999999999999,8000.0,14000.0,True,"Vert Yucca Swift Kelly Moove Gold Hardware, 2024"
sothebys-handbags-accessories-110,handbags,"Vintage Black Shiny Crocodile Vanity Case Gold Hardware, circa 1950",,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,3175.0,USD,,0.61,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,110,Hermes,,,,Crocodile,Black Shiny,,,"Vintage Black Shiny Crocodile Vanity Case Gold Hardware, circa 1950",,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.61,8000.0,12000.0,True,"Vintage Black Shiny Crocodile Vanity Case Gold Hardware, circa 1950"
sothebys-handbags-accessories-117,handbags,Les Necessaires d'Hermès Ivory Onyx and Oak Large Satellite Coffee Table,,Sothebys,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,7620.0,USD,,0.53,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,117,Hermes,,,,,Les Necessaires d'Hermes Ivory Onyx and Oak Large Satellite Coffee Table,,,Les Necessaires d'Hermès Ivory Onyx and Oak Large Satellite Coffee Table,,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,,0.53,8000.0,12000.0,True,Les Necessaires d'Hermès Ivory Onyx and Oak Large Satellite Coffee Table
sothebys-handbags-accessories-62,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,40640.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,62,Hermes,Birkin,,35.0,Togo,Black,,,"Black Togo Birkin 35 Gold Hardware, 2022",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,10000.0,16000.0,True,"Black Togo Birkin 35 Gold Hardware, 2022"
sothebys-handbags-accessories-63,handbags,Constance,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,19050.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,63,Hermes,Constance,,18.0,Epsom,Black,,,"Black Epsom Mini Constance 18 Brushed Gold Hardware, 2025",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"Black Epsom Mini Constance 18 Brushed Gold Hardware, 2025"
sothebys-handbags-accessories-64,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,7620.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,64,Hermes,Kelly,,35.0,Box,Black,,,"Vintage Black Box Kelly 35 Sellier Gold Hardware, 1985",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,4000.0,8000.0,True,"Vintage Black Box Kelly 35 Sellier Gold Hardware, 1985"
sothebys-handbags-accessories-66,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,16510.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,66,Hermes,Kelly,,28.0,Porosus Crocodile,Black Shiny,,,"Vintage Black Shiny Porosus Crocodile Kelly 28 Sellier Gold Hardware, 1995",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,10000.0,16000.0,True,"Vintage Black Shiny Porosus Crocodile Kelly 28 Sellier Gold Hardware, 1995"
sothebys-handbags-accessories-67,handbags,Constance,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,9525.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,67,Hermes,Constance,,23.0,Lizard,Black Shiny,,,"Vintage Black Shiny Lizard Constance 23 Gold Hardware, 1960s",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,5000.0,8000.0,True,"Vintage Black Shiny Lizard Constance 23 Gold Hardware, 1960s"
sothebys-handbags-accessories-69,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,12065.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,69,Hermes,Birkin,,35.0,Togo,Black,,,"Black Togo Birkin 35 Rose Gold Hardware, 2018",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"Black Togo Birkin 35 Rose Gold Hardware, 2018"
