asset_id,ticker,asset_name,category,homepage_market_cap,exchange_market_cap,difference,difference_pct_of_total_gap,difference_reason,exchange_price_source,canonical_status,recommended_action
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,,13750000.0,13750000.0,0.5048548679942207,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-baro,BARO,Barosaurus Skeleton,fossils,,12500000.0,12500000.0,0.4589589709038371,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,,285000.0,285000.0,0.010464264536607485,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,,165000.0,165000.0,0.00605825841593065,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,,150000.0,150000.0,0.005507507650846045,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,,107500.0,107500.0,0.003947047149772999,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,,58000.0,58000.0,0.002129569624993804,only_in_exchange_source|stale_price|status_mismatch,carried_forward,exited,exclude_from_current_tradable_when_stale_or_offering_only
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,,46800.0,46800.0,0.001718342387063966,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,,39000.0,39000.0,0.0014319519892199717,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,,34000.0,34000.0,0.0012483684008584369,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,,27000.0,27000.0,0.000991351377152288,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,,25500.0,25500.0,0.0009362763006438276,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,,22000.0,22000.0,0.0008077677887907532,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,,18500.0,18500.0,0.0006792592769376788,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,,9800.0,9800.0,0.0003598238331886083,stale_price,carried_forward,active_tradable,exclude_from_current_tradable_when_stale_or_offering_only
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,28000.0,25600.0,-2400.0,-8.812012241353672e-05,price_mismatch,carried_forward,active_tradable,no_action
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,35200.0,35050.0,-150.0,-5.507507650846045e-06,price_mismatch,carried_forward,active_tradable,no_action
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,65100.0,65099.99999999999,-7.275957614183426e-12,-2.6714928151564503e-19,share_count_mismatch,carried_forward,active_tradable,no_action
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,63180.0,63180.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,52200.0,52200.0,0.0,0.0,reconciled,carried_forward,active_tradable,no_action
