date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2019-11-01,handbags,58000.0,1,0.0,0.0,0.0,58000.0,0.0,0.0,110300.0,0.5258386219401632,0.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2019-11-01,watches,52300.0,2,0.0,0.0,0.0,52300.0,0.0,0.0,110300.0,0.4741613780598368,0.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-02-01,handbags,110500.0,2,0.0,58000.0,0.0,52500.0,0.0,0.0,162800.0,0.6787469287469288,58000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-02-01,watches,52300.0,2,0.0,52300.0,0.0,0.0,0.0,0.0,162800.0,0.32125307125307123,52300.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-03-17,handbags,110500.0,2,0.0,110500.0,0.0,0.0,0.0,0.0,165000.0,0.6696969696969697,110500.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-03-17,watches,54500.0,2,20000.0,34500.0,2199.999999999999,0.0,0.0,2199.999999999999,165000.0,0.3303030303030303,52300.0,0.042065009560229516,104.20650095602295,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-04-01,handbags,110500.0,2,0.0,110500.0,0.0,0.0,0.0,0.0,190500.0,0.5800524934383202,110500.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-04-01,watches,80000.0,3,0.0,54500.0,0.0,25500.0,0.0,0.0,190500.0,0.4199475065616798,54500.0,0.0,104.20650095602295,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-05-01,handbags,250500.0,3,0.0,110500.0,0.0,140000.0,0.0,0.0,330500.0,0.7579425113464447,110500.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-05-01,watches,80000.0,3,0.0,80000.0,0.0,0.0,0.0,0.0,330500.0,0.24205748865355523,80000.0,0.0,104.20650095602295,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-05-05,handbags,250500.0,3,0.0,250500.0,0.0,0.0,0.0,0.0,332000.0,0.7545180722891566,250500.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-05-05,watches,81500.0,3,36000.0,45500.0,1500.0,0.0,0.0,1500.0,332000.0,0.24548192771084337,80000.0,0.018750000000000044,106.1603728489484,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-06-01,handbags,278500.0,4,0.0,250500.0,0.0,28000.0,0.0,0.0,388000.0,0.7177835051546392,250500.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
