date,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_coverage_pct,carried_forward_coverage_pct
2019-11-01,3,0,0,0,0.0,0,0.0,0.0
2020-02-01,4,0,3,0,92.0,92,0.0,0.6775184275184275
2020-03-17,4,1,3,2,91.0,137,0.12121212121212122,0.8787878787878788
2020-04-01,5,0,4,2,60.0,152,0.0,0.8661417322834646
2020-05-01,6,0,5,2,67.5,182,0.0,0.5763993948562783
2020-05-05,6,1,5,1,41.5,186,0.10843373493975904,0.891566265060241
2020-06-01,8,0,6,2,46.0,213,0.0,0.8556701030927835
2020-06-30,8,1,7,2,58.0,242,0.06835443037974684,0.9316455696202531
2020-08-18,8,1,7,2,91.5,291,0.08855451406018747,0.9114454859398126
2020-09-01,15,0,8,3,14.0,305,0.0,0.5048567870485678
2020-09-15,15,1,14,3,14.0,319,0.18450184501845018,0.8154981549815498
2020-10-01,16,0,15,5,30.0,335,0.0,0.9217687074829932
2020-10-13,16,1,15,4,42.0,347,0.031746031746031744,0.9682539682539683
2020-10-20,16,1,15,4,49.0,354,0.030612244897959183,0.9693877551020408
2020-11-01,20,0,16,4,61.0,366,0.0,0.7528809218950064
2020-11-17,20,1,19,3,77.0,382,0.030729833546734954,0.969270166453265
2020-12-01,22,2,18,2,55.0,396,0.07670182166826463,0.8653723234260147
2020-12-15,22,2,20,2,50.0,410,0.11564229536848238,0.8843577046315176
2020-12-22,22,2,20,2,51.0,417,0.053098081644542466,0.9469019183554576
2021-01-01,26,0,22,6,53.0,427,0.0,0.7082314108042793
2021-01-05,26,2,24,4,35.0,431,0.06025690014990741,0.9397430998500926
2021-01-14,26,1,25,4,44.0,440,0.016460421504364952,0.983539578495635
2021-01-21,26,1,25,4,51.0,447,0.016739596487621508,0.9832604035123785
2021-02-01,27,0,26,5,62.0,458,0.0,0.98268448241032
2021-02-09,27,1,26,5,56.0,466,0.028627866365119808,0.9713721336348802
2021-02-18,27,2,25,5,58.0,475,0.04087309471772019,0.9591269052822798
2021-02-23,27,1,26,5,63.0,480,0.014475887712525901,0.985524112287474
2021-02-25,27,1,26,5,55.0,482,0.006803685329553508,0.9931963146704464
2021-03-01,28,0,27,5,59.0,486,0.0,0.9876802463950721
2021-03-02,28,2,26,7,60.0,487,0.06580440208758793,0.934195597912412
2021-03-04,28,1,27,7,60.0,489,0.028428473959517853,0.9715715260404821
2021-03-11,28,1,27,7,67.0,496,0.019014891179839632,0.9809851088201603
2021-03-16,28,2,26,7,57.5,501,0.028835619821982256,0.9711643801780178
2021-03-18,28,1,27,7,50.5,503,0.014555066181885928,0.985444933818114
2021-03-23,28,1,27,7,46.0,508,0.011991003822498047,0.9880089961775019
2021-04-01,30,1,27,8,42.0,517,0.020503299037768784,0.9470331441524307
2021-04-15,30,2,28,6,50.0,531,0.04572477731534845,0.9542752226846516
2021-04-20,30,1,29,5,52.0,536,0.027964255944645112,0.9720357440553549
2021-04-22,30,2,28,5,51.0,538,0.03611053434563198,0.9638894656543681
2021-04-29,30,1,29,4,57.0,545,0.018319883485541033,0.981680116514459
2021-05-04,30,1,29,7,57.5,550,0.00744463056020845,0.9925553694397915
2021-05-11,30,1,29,7,58.5,557,0.011561543622310655,0.9884384563776893
2021-05-19,30,1,29,6,64.0,565,0.015293091921833939,0.9847069080781661
2021-05-21,30,1,29,6,65.0,567,0.023588492540139235,0.9764115074598607
2021-05-25,30,1,29,6,65.5,571,0.020608893482437437,0.9793911065175626
2021-05-28,30,1,29,6,61.5,574,0.03103749018439373,0.9689625098156063
2021-05-31,30,1,29,6,60.0,577,0.021118602693864116,0.9788813973061359
2021-06-01,30,1,29,6,61.0,578,0.015834034480938616,0.9841659655190614
2021-06-07,30,1,29,7,60.0,584,0.013648023673117425,0.9863519763268825
2021-06-11,30,1,29,7,57.0,588,0.02883984335281666,0.9711601566471834
2021-06-21,30,1,29,6,64.5,598,0.018668498602943215,0.9813315013970568
2021-06-23,30,1,29,6,63.0,600,0.028237229559468526,0.9717627704405315
2021-06-25,30,1,29,6,64.0,602,0.03565431767692313,0.9643456823230768
2021-06-28,30,1,29,7,63.5,605,0.02925313653583509,0.9707468634641649
2021-07-07,30,1,29,9,66.5,614,0.011528391698344463,0.9884716083016556
2021-07-14,30,1,29,9,67.5,621,0.02939226983303391,0.9706077301669661
2021-07-20,30,2,28,9,61.0,627,0.019300086279201902,0.9806999137207981
2021-07-23,30,1,29,9,61.0,630,0.00602045147365601,0.993979548526344
2021-07-26,30,1,29,8,60.5,633,0.07054652984559129,0.9294534701544087
2021-08-01,31,0,30,10,65.0,639,0.0,0.940558638212225
2021-08-04,31,1,30,9,65.0,642,0.02128593554585587,0.9787140644541441
2021-08-10,31,2,29,9,64.0,648,0.04030317711883196,0.9596968228811681
2021-08-13,31,1,30,9,63.0,651,0.022408596156105933,0.9775914038438941
2021-08-16,31,1,30,9,56.0,654,0.029449378427239586,0.9705506215727604
2021-08-17,31,1,30,9,55.0,655,0.027032068142437374,0.9729679318575626
2021-08-19,31,1,30,9,55.0,657,0.015117525261114756,0.9848824747388852
2021-08-20,31,1,30,8,53.0,658,0.009918114601840838,0.9900818853981591
