date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2020-06-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-07-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-08-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-09-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-10-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-11-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2020-12-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2021-01-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2021-02-28,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2021-03-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
2021-04-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,7.407407407407407,13.5,asof_observed_or_offering,100.0,1.0,2019-11-01,,0.0,0.0,
