date,universe,category,weighting_method,rebalance_frequency,index_level,portfolio_value,invested_asset_value,cash_value,pending_settlement_value,eligible_constituent_count,active_constituent_count,exited_constituent_count,realized_exit_proceeds,period_return,cumulative_return,rebalance_flag,calculation_version,drawdown,calculated_at
2017-04-13,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-04-30,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-05-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-06-30,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-07-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-08-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-09-30,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-10-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-11-30,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2017-12-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2018-01-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2018-02-28,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2018-03-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2018-04-30,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
2018-05-31,full_market,all,equal_weight,monthly,100.0,100.0,0.0,100.0,0,0,0,0,100.0,0.0,0.0,True,total_return_index_v1,0.0,2026-07-17T23:17:26.908450+00:00
