ticker,name,category,subcategory,status,metric,value,source_url,notes,last_updated
PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,trading,premium_to_offering,3.6500000000000004,,Live Rally market cap compared with SEC offering cap.,2026-07-02
MEGALODON,Megalodon Fossil,fossils,shark,trading,premium_to_offering,-0.7025,,Live Rally market cap compared with SEC offering cap.,2026-07-02
TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,trading,premium_to_offering,-0.53,,Live Rally market cap compared with SEC offering cap.,2026-07-02
PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,trading,premium_to_offering,-0.5074074074074074,,Live Rally market cap compared with SEC offering cap.,2026-07-02
BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,trading,premium_to_offering,-0.48750000000000004,,Live Rally market cap compared with SEC offering cap.,2026-07-02
SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,trading,premium_to_offering,-0.37410714285714286,,Live Rally market cap compared with SEC offering cap.,2026-07-02
BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,trading,premium_to_offering,-0.35238095238095235,,Live Rally market cap compared with SEC offering cap.,2026-07-02
KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,trading,premium_to_offering,-0.35,,Live Rally market cap compared with SEC offering cap.,2026-07-02
RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,trading,premium_to_offering,-0.33999999999999997,,Live Rally market cap compared with SEC offering cap.,2026-07-02
HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,trading,premium_to_offering,-0.32999999999999996,,Live Rally market cap compared with SEC offering cap.,2026-07-02
MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,trading,premium_to_offering,0.26,,Live Rally market cap compared with SEC offering cap.,2026-07-02
03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,trading,premium_to_offering,-0.18999999999999995,,Live Rally market cap compared with SEC offering cap.,2026-07-02
79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,trading,premium_to_offering,0.17999999999999994,,Live Rally market cap compared with SEC offering cap.,2026-07-02
MOSASAUR,Mosasaur,fossils,mosasaur,trading,premium_to_offering,0.1399999999999999,,Live Rally market cap compared with SEC offering cap.,2026-07-02
93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,trading,premium_to_offering,-0.13809523809523805,,Live Rally market cap compared with SEC offering cap.,2026-07-02
RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,trading,premium_to_offering,0.12359550561797761,,Live Rally market cap compared with SEC offering cap.,2026-07-02
BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,trading,premium_to_offering,-0.08571428571428574,,Live Rally market cap compared with SEC offering cap.,2026-07-02
SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,trading,premium_to_offering,0.07843137254901955,,Live Rally market cap compared with SEC offering cap.,2026-07-02
DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,trading,premium_to_offering,-0.07272727272727275,,Live Rally market cap compared with SEC offering cap.,2026-07-02
MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,trading,premium_to_offering,-0.05660377358490565,,Live Rally market cap compared with SEC offering cap.,2026-07-02
DIMAGGIO2,DiMaggio 2 Watch,watches,,trading,premium_to_offering,-0.04761904761904767,,Live Rally market cap compared with SEC offering cap.,2026-07-02
SMURF,Rolex Submariner Smurf,watches,rolex,trading,premium_to_offering,0.04637681159420293,,Live Rally market cap compared with SEC offering cap.,2026-07-02
14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,trading,premium_to_offering,-0.033333333333333326,,Live Rally market cap compared with SEC offering cap.,2026-07-02
MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,trading,premium_to_offering,-0.033333333333333326,,Live Rally market cap compared with SEC offering cap.,2026-07-02
GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,trading,premium_to_offering,0.017857142857142794,,Live Rally market cap compared with SEC offering cap.,2026-07-02
