ticker,name,category,subcategory,status,metric,value,source_url,notes,last_updated
76PT1,Upfront Purchase,other,other,exited,exit_return_vs_offering,0.09139020537124809,https://www.sec.gov/Archives/edgar/data/1688804/000168880420000007/rsec1sa2020.htm,Exit date: 2026-01-06,2026-07-02
04MESSI,2004-05 Panini Lionel Messi Card graded BGS GEM MINT 9.5,cards,cards,exited,exit_return_vs_offering,1.6666666666666665,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-09-19,2026-07-02
BAYC7359,Number 7359 Bored Ape Yacht Club NFT with Space Suit,other,bored_ape,exited,exit_return_vs_offering,-0.7686578947368421,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-09-18,2026-07-02
03RONALDO,2003 Panini #137 Cristiano Ronaldo Rookie Card graded PSA 10,cards,cards,exited,exit_return_vs_offering,-0.4,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-08-13,2026-07-02
NEOBOX,2000 Pokémon Neo Genesis 1st Edition Set Sealed Booster Box,cards,pokemon,exited,exit_return_vs_offering,-0.2666666666666667,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-05-23,2026-07-02
17DUJAC,"Two cases of six (6) bottles of 2017 Chambertin, Domaine Dujac",wine,wine,exited,exit_return_vs_offering,0.3653846153846154,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-05-08,2026-07-02
05MJLJ,"2005-06 Exquisite Collection Jerseys inserts, Dual Autographs: Michael Jordan and Lebron James graded BGS NM-MT+ 8.5",cards,jordan,exited,exit_return_vs_offering,-0.3091463414634147,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2025-03-19,2026-07-02
03KOBE,2003-2004 Upper Deck Exquisite Collection Limited Logos #KB Kobe Bryant Signed Game Used Patch Card,cards,cards,exited,exit_return_vs_offering,-0.13,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2024-12-23,2026-07-02
OHTANI1,2018 Bowman Chrome Shohei Ohtani Orange Refractors Pitching Autographed Rookie Card graded BGS 9.5,cards,cards,exited,exit_return_vs_offering,-0.12888888888888894,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2024-12-07,2026-07-02
OHTANI2,2018 Bowman Chrome Shohei Ohtani Orange Refractors Batting Autographed Rookie Card graded BGS 9.5,cards,cards,exited,exit_return_vs_offering,0.33479452054794523,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Exit date: 2024-12-07,2026-07-02
