date,asset_id,bid,ask,last,volume,market_cap_usd,source,event_type,precision_status,source_reference,observed_at,period_end,frequency
2026-06-24,rally-hermes-birkin-35,11.6,12.35,12.0,160.0,168000.0,manual_seed,,,,,,
2026-06-25,rally-hermes-birkin-35,11.7,12.3,12.05,0.0,168700.0,manual_seed,,,,,,
2026-06-26,rally-hermes-birkin-35,11.75,12.4,12.1,90.0,169400.0,manual_seed,,,,,,
2026-06-27,rally-hermes-birkin-35,11.72,12.42,12.08,0.0,169120.0,manual_seed,,,,,,
2026-06-30,rally-hermes-birkin-35,11.8,12.45,12.0,120.0,168000.0,manual_seed,,,,,,
2026-07-01,rally-hermes-birkin-35,11.85,12.5,12.0,0.0,168000.0,manual_seed,,,,,,
2026-06-24,rally-chanel-flap,5.25,5.7,5.4,80.0,97200.0,manual_seed,,,,,,
2026-06-25,rally-chanel-flap,5.3,5.75,5.45,0.0,98100.0,manual_seed,,,,,,
2026-06-30,rally-chanel-flap,5.3,5.8,5.5,50.0,99000.0,manual_seed,,,,,,
2026-07-01,rally-chanel-flap,5.3,5.85,5.5,0.0,99000.0,manual_seed,,,,,,
2026-06-24,rally-rolex-daytona,22.8,24.1,23.3,45.0,186400.0,manual_seed,,,,,,
2026-06-30,rally-rolex-daytona,23.0,24.3,23.5,40.0,188000.0,manual_seed,,,,,,
2026-07-01,rally-rolex-daytona,23.0,24.4,23.5,0.0,188000.0,manual_seed,,,,,,
2026-07-02,rally-soblack,,,35.2,0.0,35200.0,rally_portfolio_capture,,,,,,
2026-07-02,rally-birkintan,,,27.95,0.0,28000.0,rally_portfolio_capture,,,,,,
2026-07-02,rally-himalaya,,,46.9,0.0,93800.0,rally_portfolio_capture,,,,,,
2026-07-02,rally-birkinbor,,,17.0,0.0,34000.0,rally_portfolio_capture,,,,,,
2021-04-20,rally-03tache,,,3.0,0.0,46800.0,manual:chart_observation:chart_estimate:rally_app_chart,chart_observation,chart_estimate,Rally App,2021-04-20T00:00:00Z,2021-03-31,quarterly
2021-06-25,rally-03tache,,,3.75,0.0,58500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2021-06-25T00:00:00Z,2021-06-30,quarterly
2021-09-10,rally-03tache,,,4.6,0.0,71760.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2021-09-10T00:00:00Z,2021-09-30,quarterly
