asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_market_cap_usd,source_notes,comp_count,top_comp_count,median_comp_sale_usd,mean_comp_sale_usd,estimate_weighted_value_usd,estimated_nav_usd,nav_low_usd,nav_high_usd,nav_confidence,discount_to_secondary_nav,premium_to_offering,rally_return_since_offering,comp_market_momentum_90d,comp_market_momentum_180d,comp_market_momentum_365d,liquidity_score,mispricing_score
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,2000.0,,,Chateau Mouton Rothschild,,2021-04-01,27000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,2003.0,,,Domaine de la Romanee-Conti La Tache,,2020-11-01,78000.0,63180.0,,4.05,,,15600.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.,0,0,,,,,,,0.0,,-0.18999999999999995,-0.18999999999999995,,,,0.45,0.0
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,2005.0,,,Chateau Latour,,2020-09-01,9800.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,2006.0,,,Giacomo Conterno Barolo Riserva Monfortino,,2020-12-01,18500.0,,,,,,1850.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2021-01-01,34000.0,,,,,,6800.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Richebourg,,2021-08-01,107500.0,,,,,,4300.0,,trading,,,Currently trading. Submitted offering_date was 2021-08.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,2011.0,,,Domaine du Comte Liger-Belair Vosne-Romanee Aux Reignots,,2021-03-01,22000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-03.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2013.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2020-11-01,25500.0,,,,,,5100.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,2014.0,,,Domaine de la Romanee-Conti Assortment,,2020-09-01,54000.0,52200.0,,52.2,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,-0.033333333333333326,-0.033333333333333326,,,,0.45,0.0
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,2016.0,,,Chateau Petrus,,2020-09-01,46800.0,,,,,,9000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,2016.0,,,Screaming Eagle,,2020-09-01,39000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,Rolex,,1979.0,,,Coral Stella Dial Day-Date,,2020-10-01,69000.0,81420.0,,5.9,,,13800.0,,trading,,,Currently trading. Submitted offering_date was 2020-10.,0,0,,,,,,,0.0,,0.17999999999999994,0.17999999999999994,,,,0.45,0.0
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,Rolex,Daytona,1993.0,,,Zenith,,2020-09-01,42000.0,36200.0,,18.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,-0.13809523809523805,-0.13809523809523805,,,,0.45,0.0
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,,,,Barosaurus Skeleton,,2025-09-01,12500000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,Hermes,Birkin,,25,Lizard,Blue,,2019-11-01,58000.0,,,,,,1000.0,,sold,,,Exited via buyout. Submitted offering_date was 2019-11.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,Hermes,Birkin,,35,Crocodile,Bordeaux,,2020-02-01,52500.0,34000.0,,17.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-02.,0,0,,,,,,,0.0,,-0.35238095238095235,-0.35238095238095235,,,,0.45,0.0
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,Hermes,Birkin,,30,Ostrich,Tangerine,,2020-06-01,28000.0,25600.0,,25.6,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.,0,0,,,,,,,0.0,,-0.08571428571428574,-0.08571428571428574,,,,0.45,0.0
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,2022-01-01,80000.0,41000.0,,2.05,,,20000.0,,trading,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.,0,0,,,,,,,0.0,,-0.48750000000000004,-0.48750000000000004,,,,0.45,0.0
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,,,,Deaton Triceratops Skull,,2021-01-01,285000.0,,,,,,11400.0,,buyout,,,"Last secondary close: $23.75/share ($270,800 market cap). Buyout offer: $600,000 ($52.63/share). Submitted offering_date was 2021-01.",0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,,,,DiMaggio 2 Watch,,2020-11-01,21000.0,20000.0,,10.0,,,2000.0,,trading,,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,0,0,,,,,,,0.0,,-0.04761904761904767,-0.04761904761904767,,,,0.45,0.0
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,Rolex,,,,,Domino's Pizza Special Edition Rolex Air-King,,2021-01-01,11000.0,10200.0,,5.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.,0,0,,,,,,,0.0,,-0.07272727272727275,-0.07272727272727275,,,,0.45,0.0
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,Hermes,,,,,Faubourg,,2020-09-01,150000.0,,,,,,2000.0,,sold,,,Exited. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,Hermes,,,,,Faubourg 2,,2021-01-01,165000.0,,,,,,11000.0,,sold,,,Exited via buyout. Submitted offering_date was 2021-01.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,Rolex,,1983.0,,,GMT-Master Nipple Dial,,2020-06-01,28000.0,28500.0,,28.5,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.,0,0,,,,,,,0.0,,0.017857142857142794,0.017857142857142794,,,,0.45,0.0
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,Hermes,Birkin,,30,,Himalaya,,2020-05-01,140000.0,93800.0,,46.9,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-05.,0,0,,,,,,,0.0,,-0.32999999999999996,-0.32999999999999996,,,,0.45,0.0
