series_id,cik,accession_number,filing_type,filing_date,filing_url,series_name,asset_name,offering_price,shares,acquisition_cost,offering_expenses,status,source_confidence
0001688804-0001688804-26-000013-Series #69BM1,0001688804,0001688804-26-000013,1-K,2026-05-07,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000013/xsl1-K_X01/primary_doc.xml,Series #69BM1,Series #69BM1,,,,,,0.8
0001688804-0001688804-26-000012-SERIES #96CHARZRD,0001688804,0001688804-26-000012,1-U,2026-03-30,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000012/series96charzrdform1u.htm,SERIES #96CHARZRD,SERIES #96CHARZRD,65000.0,55.0,,,,0.8
0001688804-0001688804-26-000011-SERIES #EINSTEIN,0001688804,0001688804-26-000011,1-U,2026-03-30,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000011/serieseinsteinform1u.htm,SERIES #EINSTEIN,SERIES #EINSTEIN,14500.0,55.0,,,,0.8
0001688804-0001688804-26-000010-SERIES #POKELUGIA,0001688804,0001688804-26-000010,1-U,2026-03-27,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000010/seriespokelugiaform1u.htm,SERIES #POKELUGIA,SERIES #POKELUGIA,110000.0,55.0,,,,0.8
0001688804-0001688804-26-000009-SERIES #BULLSRING,0001688804,0001688804-26-000009,1-U,2026-03-27,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000009/seriesbullsringform1u.htm,SERIES #BULLSRING,SERIES #BULLSRING,300000.0,55.0,,,,0.8
0001688804-0001688804-26-000008-SERIES #76PT1,0001688804,0001688804-26-000008,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000008/form1u.htm,SERIES #76PT1,SERIES #76PT1,189000.0,55.0,,,exit,0.8
0001688804-0001688804-26-000007-SERIES #POKEMON3,0001688804,0001688804-26-000007,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000007/seriespokemon3form1u.htm,SERIES #POKEMON3,SERIES #POKEMON3,600000.0,55.0,,,,0.8
0001688804-0001688804-26-000006-SERIES #99CHARZRD,0001688804,0001688804-26-000006,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000006/series99charzrdform1u.htm,SERIES #99CHARZRD,SERIES #99CHARZRD,350000.0,55.0,,,,0.8
0001688804-0001688804-26-000005-SERIES #98KANGA,0001688804,0001688804-26-000005,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000005/series98kangaform1u.htm,SERIES #98KANGA,SERIES #98KANGA,170000.0,55.0,,,,0.8
0001688804-0001688804-26-000004-SERIES #86FLEER,0001688804,0001688804-26-000004,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000004/series86fleerform1u.htm,SERIES #86FLEER,SERIES #86FLEER,165000.0,55.0,,,,0.8
0001688804-0001688804-26-000003-SERIES #04MESSI,0001688804,0001688804-26-000003,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000003/series04messiform1u.htm,SERIES #04MESSI,SERIES #04MESSI,45000.0,55.0,,,,0.8
0001688804-0001688804-26-000002-SERIES #BAYC7359,0001688804,0001688804-26-000002,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000002/seriesbayc7359form1u.htm,SERIES #BAYC7359,SERIES #BAYC7359,190000.0,55.0,,,,0.8
0001688804-0001688804-26-000001-SERIES #03RONALDO,0001688804,0001688804-26-000001,1-U,2026-01-06,https://www.sec.gov/Archives/edgar/data/1688804/000168880426000001/series03ronaldoform1u.htm,SERIES #03RONALDO,SERIES #03RONALDO,175000.0,55.0,,,,0.8
0001688804-0001688804-25-000007-Series #2A,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #2A,Series #2A,,1.0,1900000.0,,exit,0.8
0001688804-0001688804-25-000007-Series #77LE1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #77LE1,1977 Lotus Esprit S1,38.85,2000.0,,3443.0,closed,0.88
0001688804-0001688804-25-000007-Series #69BM1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #69BM1,1969 Ford Mustang Boss 302,57.5,2000.0,,2986.0,closed,0.88
0001688804-0001688804-25-000007-Series #85FT1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #85FT1,1985 Ferrari Testarossa,82.5,2000.0,,17859.0,exit,0.88
0001688804-0001688804-25-000007-Series #88LJ1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #88LJ1,1988 Lamborghini Jalpa,67.5,2000.0,,578.0,exit,0.88
0001688804-0001688804-25-000007-Series #55PS1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #55PS1,1955 Porsche 356 Speedster,212.5,2000.0,,3357.0,closed,0.88
0001688804-0001688804-25-000007-Series #95BL1,0001688804,0001688804-25-000007,1-SA,2025-09-29,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Series #95BL1,1995 BMW E36 M3 Lightweight,59.25,2000.0,,444.0,exit,0.88
